Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,114.389999,114.720001,114.160004,114.680000,112.884956,4762300
2018-10-17,114.660004,114.790001,113.980003,114.000000,112.215599,5880700
2018-10-18,113.620003,114.389999,113.550003,113.959999,112.176216,5728800
2018-10-19,113.849998,113.949997,113.410004,113.709999,111.930138,10892400
2018-10-22,113.949997,114.080002,113.529999,113.559998,111.782486,3244200
2018-10-23,114.760002,115.019997,113.839996,113.919998,112.136848,10330700
2018-10-24,114.360001,114.820000,114.239998,114.779999,112.983383,16008000
2018-10-25,114.540001,114.739998,114.230003,114.300003,112.510910,12613200
2018-10-26,114.930000,115.320000,114.790001,114.989998,113.190109,18582500
2018-10-29,114.839996,115.019997,114.260002,114.730003,112.934166,7679900
2018-10-30,114.260002,114.540001,114.019997,114.160004,112.373093,9939500
2018-10-31,113.739998,113.959999,113.209999,113.580002,111.802170,8706400
2018-11-01,112.849998,113.559998,112.839996,113.410004,111.905777,6100200
2018-11-02,113.169998,113.260002,111.900002,112.000000,110.514496,11314800
2018-11-05,112.480003,112.709999,112.349998,112.440002,110.948639,4760200
2018-11-06,112.599998,112.730003,112.330002,112.370003,110.879570,3159900
2018-11-07,113.190002,113.400002,112.410004,112.519997,111.027573,9313100
2018-11-08,112.959999,112.970001,112.410004,112.510002,111.017715,6905100
2018-11-09,112.750000,113.500000,112.720001,113.349998,111.846581,6465300
2018-11-12,113.949997,114.309998,113.910004,114.089996,112.576752,6840000
2018-11-13,113.709999,114.019997,113.480003,114.019997,112.507683,6525800
2018-11-14,113.480003,114.519997,113.300003,114.089996,112.576752,8690800
2018-11-15,114.440002,114.540001,113.680000,114.040001,112.527420,7879600
2018-11-16,114.199997,114.809998,113.919998,114.699997,113.178658,9236700
2018-11-19,114.410004,115.019997,114.410004,115.019997,113.494423,7027200
2018-11-20,115.239998,115.459999,114.930000,115.059998,113.533890,6332600
2018-11-21,114.889999,115.089996,114.540001,115.019997,113.494423,4951100
2018-11-23,115.669998,115.760002,115.089996,115.139999,113.612831,3027900
2018-11-26,114.860001,115.059998,114.779999,114.879997,113.356285,6599000
2018-11-27,114.809998,115.250000,114.760002,115.010002,113.484558,5967200
2018-11-28,114.849998,115.019997,114.360001,114.449997,112.931992,7814000
2018-11-29,114.919998,115.250000,114.589996,114.900002,113.376015,7295600
2018-11-30,115.309998,115.419998,114.980003,115.330002,113.800316,9127800
2018-12-03,114.680000,115.879997,114.660004,115.879997,114.608345,9763800
2018-12-04,116.809998,118.669998,116.629997,117.820000,116.527054,18100500
2018-12-06,118.540001,119.199997,118.129997,118.190002,116.892998,15319400
2018-12-07,117.809998,118.529999,117.519997,118.410004,117.110588,8608400
2018-12-10,118.870003,119.279999,118.440002,118.900002,117.595207,8777700
2018-12-11,118.970001,119.379997,118.610001,118.879997,117.575424,8071900
2018-12-12,118.580002,118.720001,118.239998,118.349998,117.051239,6182200
2018-12-13,118.459999,118.580002,117.980003,118.070000,116.774307,5564200
2018-12-14,118.550003,118.769997,118.220001,118.480003,117.179825,8169200
2018-12-17,118.589996,119.300003,118.580002,119.169998,117.862244,9726800
2018-12-18,119.070000,119.790001,118.940002,119.599998,118.568100,10018800
2018-12-19,120.110001,121.660004,119.919998,121.180000,120.134468,23046300
2018-12-20,122.010002,122.029999,120.669998,120.739998,119.698257,18543700
2018-12-21,121.139999,121.209999,120.389999,120.720001,119.678436,9945100
2018-12-24,121.129997,121.419998,120.910004,121.320000,120.273254,8377500
2018-12-26,120.989998,121.389999,119.970001,120.019997,118.984474,11700400
2018-12-27,121.260002,121.379997,119.980003,120.040001,119.004303,12146500
2018-12-28,120.400002,121.050003,120.290001,121.050003,120.005592,9879100
